Category,Metric,Value,Unit,Source,Citation_URL
PBM Market Structure,Big 3 PBM Market Share,80,% of US prescription claims,Drug Channels Institute 2024,https://www.drugchannels.net/2024/04/the-top-pharmacy-benefit-managers-of.html
PBM Market Structure,CVS Caremark Market Share,34,% of prescription claims,Drug Channels Institute 2024,https://www.drugchannels.net/2024/04/the-top-pharmacy-benefit-managers-of.html
PBM Market Structure,Express Scripts Market Share,24,% of prescription claims,Drug Channels Institute 2024,https://www.drugchannels.net/2024/04/the-top-pharmacy-benefit-managers-of.html
PBM Market Structure,OptumRx Market Share,22,% of prescription claims,Drug Channels Institute 2024,https://www.drugchannels.net/2024/04/the-top-pharmacy-benefit-managers-of.html
PBM Market Structure,Total US Prescriptions Processed,6.6,billion/year,CMS/FTC 2024,https://www.ftc.gov/reports/pharmacy-benefit-managers-report
PBM Market Structure,PBM-owned Specialty Pharmacy Share,65,% of specialty drug revenue,FTC Interim Report #1 July 2024,https://www.ftc.gov/reports/pharmacy-benefit-managers-report
PBM Market Structure,PBM-owned Mail-Order Pharmacy Share,75,% of mail-order drug revenue,FTC Interim Report #1 July 2024,https://www.ftc.gov/reports/pharmacy-benefit-managers-report
Drug Spending Scale,US Prescription Drug Spending 2023,722.5,billion dollars,Bernard & Sloan 2025 (J Gen Internal Med),https://consensus.app/papers/exploring-the-lack-of-transparency-in-prescription-drug-bernard-sloan/b88b184b82ad5a9ea08c5c321806bf1c/
Drug Spending Scale,Total Manufacturer Drug Rebates (gross),334,billion dollars/year,IQVIA / CMS estimate cited in FTC reports,https://www.ftc.gov/reports/pharmacy-benefit-managers-report
Drug Spending Scale,US Medicare Part D Gross Drug Spending,250,billion dollars/year,CMS 2023,https://www.cms.gov/data-research/statistics-trends-and-reports/national-health-expenditure-data
Drug Spending Scale,US Medicaid Prescription Drug Spending,100,billion dollars/year gross before rebates,CMS NHE 2023,https://www.cms.gov/data-research/statistics-trends-and-reports/national-health-expenditure-data
Drug Spending Scale,US Commercial Insurance Drug Spending,250,billion dollars/year (estimate),CMS NHE 2023,https://www.cms.gov/data-research/statistics-trends-and-reports/national-health-expenditure-data
Spread Pricing,Ohio Medicaid Managed Care PBM Spread,224.8,million dollars in one year,Ohio State Auditor 2018,https://ohioauditor.gov/auditsearch/Reports/2018/Managed_Care_PBM_Report.pdf
Spread Pricing,Ohio Spread as % of Drug Budget,6.8-9,% of Medicaid drug spend,Ohio State Auditor 2018,https://ohioauditor.gov/auditsearch/Reports/2018/Managed_Care_PBM_Report.pdf
Spread Pricing,Kentucky Medicaid PBM Spread,123.5,million dollars in one year,Kentucky Auditor / Motheral & Fairman 2020,https://consensus.app/papers/changes-in-pbm-business-practices-in-2019-true-innovation-motheral-fairman/502d36ad89ee51bdb7893b89721aa565/
Spread Pricing,US Medicaid Managed Care Drug Spend,75-85,billion dollars/year,CMS 2023 (90% of Medicaid in managed care),https://www.medicaid.gov/medicaid/managed-care/index.html
Spread Pricing,Estimated National Spread Pricing Extraction,5.1,billion dollars/year (Ohio rate × national scale),Ohio Auditor extrapolation (conservative 3B booked),https://ohioauditor.gov/auditsearch/Reports/2018/Managed_Care_PBM_Report.pdf
Spread Pricing,Conservative Booked Spread Savings,3,billion dollars/year,Author's conservative calculation,—
Specialty Drug Markups,FTC Documented Specialty Drug Markups 2017-2022,7.3,billion dollars cumulative,FTC Interim Report #1 July 2024,https://www.ftc.gov/reports/pharmacy-benefit-managers-report
Specialty Drug Markups,Annual Rate of Specialty Markups,1.46,billion dollars/year (7.3B ÷ 5 years),FTC Interim Report #1 July 2024,https://www.ftc.gov/reports/pharmacy-benefit-managers-report
Specialty Drug Markups,Conservative Annual Specialty Markup Savings,1.5,billion dollars/year,FTC extrapolation,—
Rebate Retention,Estimated Rebate Retention Rate (above legitimate fees),5-10,%,Senate Finance Committee analysis 2022,https://www.finance.senate.gov/imo/media/doc/SFC%20PBM%20Report%20FINAL.pdf
Rebate Retention,Conservative Retained Rebates,11.7,billion dollars/year ($233B PBM-administered × 5%),FTC + Senate Finance,https://www.ftc.gov/reports/pharmacy-benefit-managers-report
Rebate Retention,Conservative Booked Rebate Savings,10,billion dollars/year,Author's conservative calculation,—
Rebate Retention,CBO Scored Part D Pass-Through Savings,2.9,billion dollars/year ($29.3B over 10yr),CBO 2019,https://www.cbo.gov/publication/55345
Formulary Manipulation,ESI 2023 Formulary Exclusions with Questionable Patient Benefit,57.4,%,Chea et al. 2023 (Drug formulary analysis),https://consensus.app/papers/analysis-of-drug-formulary-exclusions-from-the-patients-chea-sydor/1a044589a37c5a2e8c10dabb3f70df8e/
Formulary Manipulation,Increase in Questionable Exclusions 2022-2023,9,percentage points (48.4% to 57.4%),Chea et al. 2023,https://consensus.app/papers/analysis-of-drug-formulary-exclusions-from-the-patients-chea-sydor/1a044589a37c5a2e8c10dabb3f70df8e/
